Post ID,URL to tweet,creation_date,likes,caption,retweet_count,comment_count,view_count,poster_handle,poster_display_name,poster_follower_count,poster_frequency,total_posts,hashtags,image_filename,comment_file
1855355629474377927,https://x.com/MrJOHNWICK2/status/1855355629474377927/photo/1,Sat Nov 09 21:03:47 +0000 2024,237,🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 🔵WANT NEW FOLLOWERS?  🔴 🔴FOLLOW ME &amp; RETWEET🇺🇸⚪ ⚪REPLY WITH IFB 🔴🇺🇸⚪🇺🇸🔵 🔵I FOLLOW BACK ACTIVE 🇺🇸🔴 🔴FOLLOWERS!!🇺🇸🔴🇺🇸⚪🇺🇸⚪ ⚪#MAGA #Trump2024🔴🇺🇸⚪ 🔵#TRUMPTRAIN  🔴🇺🇸⚪🇺🇸🔵 ⚪FIGHT! 🔵 FIGHT🔵 FIGHT! 🔴 🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 https://t.co/c4vdr5ITzT,110,219,6930,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,#Trump2024🔴🇺🇸⚪,Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-11-09-21-03-47_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--203_comments.csv
1856373691002872044,https://x.com/MrJOHNWICK2/status/1856373691002872044/photo/1,Tue Nov 12 16:29:12 +0000 2024,49,Our First Lady https://t.co/im1jnZSO5J,15,2,678,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,,Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-11-12-16-29-12_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--644_comments.csv
1854649344235868425,https://x.com/Lord_God_Love/status/1854649344235868425/photo/1,Thu Nov 07 22:17:16 +0000 2024,1,@_AmaraL577 @AGuyOnTw_tter @EXCELLENTSALVIC @TomaisMac @TheFloridaMike @right_realDutch @bulldog_spirit2 @Eb67735B @ReaLtimes69 @CristalBr7 @emeraldTEC @OneTrueConsumer @momlifeinframes @827js @Vibes7363 @WhalenMona @rosejam181920 @bdonesem I follow everyone back. United Patriots. Share and grow our network of patriotic friends. I love Jesus. ✅️✅️✅️@Lord_God_Love ✅️✅️✅️ #IFBAP 🇺🇸🇺🇸🇺🇸 https://t.co/DZTSEs5uys,0,0,19,Lord_God_Love,Lord God,12331,29.6340206185567,5749,#IFBAP,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-07-22-17-16_0.jpg,Twitter_Scrape/comments\Lord_God_Love--143_comments.csv
1854522775899119917,https://x.com/Lord_God_Love/status/1854522775899119917/photo/1,Thu Nov 07 13:54:19 +0000 2024,3,@DixieReLoadz @rubiconjay @DannyLew1956 @WhatDaFookNC @Schmidtster_17 @juliaev29499565 @Bluepit19651 @Pitpass @MericleGray I follow everyone back. United Patriots. Share and grow our network of patriotic friends. I love Jesus. ✅️✅️✅️@Lord_God_Love ✅️✅️✅️ #IFBAP 🇺🇸🇺🇸🇺🇸 https://t.co/qvRWZTZyex,1,0,32,Lord_God_Love,Lord God,12331,29.6340206185567,5749,#IFBAP,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-07-13-54-19_0.jpg,Twitter_Scrape/comments\Lord_God_Love--542_comments.csv
1854160887579291675,https://x.com/Lord_God_Love/status/1854160887579291675/photo/1,Wed Nov 06 13:56:18 +0000 2024,2,@GuntherEagleman https://t.co/bwkbHdsJRh,0,0,50,Lord_God_Love,Lord God,12331,29.6340206185567,5749,,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-06-13-56-18_0.jpg,Twitter_Scrape/comments\Lord_God_Love--579_comments.csv
1853173368092008551,https://x.com/Lord_God_Love/status/1853173368092008551/photo/1,Sun Nov 03 20:32:15 +0000 2024,3,@TuckerCarlson @shopaholicdivas https://t.co/IJjQkTm1MZ,0,1,113,Lord_God_Love,Lord God,12331,29.6340206185567,5749,,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-03-20-32-15_0.jpg,Twitter_Scrape/comments\Lord_God_Love--822_comments.csv
1853172493462233255,https://x.com/Lord_God_Love/status/1853172493462233255/photo/1,Sun Nov 03 20:28:47 +0000 2024,31,@OliLondonTV @SDachsie https://t.co/rwABbz8z9r,8,0,833,Lord_God_Love,Lord God,12331,29.6340206185567,5749,,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-03-20-28-47_0.jpg,Twitter_Scrape/comments\Lord_God_Love--382_comments.csv
1852428096063820057,https://x.com/Lord_God_Love/status/1852428096063820057/photo/1,Fri Nov 01 19:10:49 +0000 2024,2,"@realDonaldTrump Thanks,  my president.  God bless you 🙏 🤍🕊 https://t.co/OSncxGowEa",0,0,78,Lord_God_Love,Lord God,12331,29.6340206185567,5749,,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-01-19-10-49_0.jpg,Twitter_Scrape/comments\Lord_God_Love--779_comments.csv
1852573651842793564,https://x.com/Lord_God_Love/status/1852573651842793564/photo/1,Sat Nov 02 04:49:12 +0000 2024,5,"@realDonaldTrump We are together, my president, to rebuild the nation. 🇺🇸🙏🤍🕊 We will have a great nation again. 🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍 https://t.co/MZg4YqryXQ",5,0,205,Lord_God_Love,Lord God,12331,29.6340206185567,5749,,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-02-04-49-12_0.jpg,Twitter_Scrape/comments\Lord_God_Love--958_comments.csv
1852788892191363330,https://x.com/Lord_God_Love/status/1852788892191363330/photo/1,Sat Nov 02 19:04:29 +0000 2024,3,@elonmusk First free speech.👊👊👊 https://t.co/lkoLmkSQkn,0,0,109,Lord_God_Love,Lord God,12331,29.6340206185567,5749,,Twitter_Scrape/twitter_media/Lord_God_Love_2024-11-02-19-04-29_0.jpg,Twitter_Scrape/comments\Lord_God_Love--991_comments.csv
